1,Россия,Шатура,ул. Балканская,78
2,Россия,Можайск,шоссе Гагарина,21
3,Россия,Ногинск,пл. Ладыгина,29
4,Россия,Сергиев,"Посад, наб. Славы",79
5,Россия,Домодедово,въезд Будапештсткая,34
6,Россия,Ступино,проезд Славы,40
7,Украина,Чернігів,просп. П. Орлика,13
8,Украина,Донецьк,просп. Лесі Українки,9
9,Украина,Одеса,просп. Михайла Грушевського,53
10,Украина,Івано-Франківськ,пров. Львівська,44
11,Украина,Чернігів,просп. Фізкультури,11
12,Украина,Полтава,пров. Інститутська,8
13,Сербия,Смедерево,Булевар Цара Душана,16
14,Сербия,Пожаревац,Краља Милана,91
15,Сербия,Лесковац,Николе Тесле,83
16,Сербия,Панчево,Михајла Пупина,53
17,Сербия,Сомбор,Булевар Николе Пашића,45
18,USA,Lake Ernestview,Schowalter Pines ,78
19,USA,South Cyrusfurt,Sean Crossing,19
20,USA,Wendybury,Mante Drives,740
21,USA,West Effieville,Legros Ridges,171
22,USA,East Silashaven,Lubowitz Prairie,793
23,United Kingdom,Eileenville,Gary Viaduct,65
24,United Kingdom,Jamesport,Layla Ridges,98
25,United Kingdom,Port Sophiachester,Scott Alley,1
